content
(17) Aceitação: 1.0061919504643964|U: 0.7502203559888533
(17) Aceito!
(18) Proposto: 0.0013850415512465374|Atual: 0.0015479876160990713
(18) Aceitação: 0.894736842105263|U: 0.7589723697282827
(18) Aceito!
(19) Proposto: 0.001466275659824047|Atual: 0.0013850415512465374
(19) Aceitação: 1.0586510263929618|U: 0.4522314112907191
(19) Aceito!
(20) Proposto: 0.0015151515151515152|Atual: 0.001466275659824047
(20) Aceitação: 1.0333333333333334|U: 0.3847168852483327
(20) Aceito!
(21) Proposto: 0.001445086705202312|Atual: 0.0015151515151515152
(21) Aceitação: 0.9537572254335259|U: 0.1086852658892763
(21) Aceito!
(22) Proposto: 0.001440922190201729|Atual: 0.001445086705202312
(22) Aceitação: 0.9971181556195965|U: 0.9437279905188564
(22) Aceito!
(23) Proposto: 0.0013123359580052493|Atual: 0.001440922190201729
(23) Aceitação: 0.9107611548556431|U: 0.01375403397771957
(23) Aceito!
(24) Proposto: 0.0012468827930174563|Atual: 0.0013123359580052493
(24) Aceitação: 0.9501246882793017|U: 0.39095434907482385
(24) Aceito!
(25) Proposto: 0.001519756838905775|Atual: 0.0012468827930174563
(25) Aceitação: 1.2188449848024316|U: 0.7783042339138977
(25) Aceito!
(26) Proposto: 0.0015432098765432098|Atual: 0.001519756838905775
(26) Aceitação: 1.015432098765432|U: 0.18875396158429847
(26) Aceito!
(27) Proposto: 0.0015479876160990713|Atual: 0.0015432098765432098
(27) Aceitação: 1.0030959752321982|U: 0.4812544612169156
(27) Aceito!
(28) Proposto: 0.001488095238095238|Atual: 0.0015479876160990713
(28) Aceitação: 0.9613095238095237|U: 0.7804385387658139
(28) Aceito!
(29) Proposto: 0.0014705882352941176|Atual: 0.001488095238095238
(29) Aceitação: 0.9882352941176471|U: 0.6854783057977317
(29) Aceito!
(30) Proposto: 0.0014705882352941176|Atual: 0.0014705882352941176
(30) Aceitação: 1.0|U: 0.5283738676321617
(30) Aceito!
(31) Proposto: 0.0014705882352941176|Atual: 0.0014705882352941176
(31) Aceitação: 1.0|U: 0.6164418357436595
(31) Aceito!
(32) Proposto: 0.0014619883040935672|Atual: 0.0014705882352941176
(32) Aceitação: 0.9941520467836257|U: 0.9385156270318065
(32) Aceito!
(33) Proposto: 0.0015015015015015015|Atual: 0.0014619883040935672
(33) Aceitação: 1.027027027027027|U: 0.8275014322204753
(33) Aceito!
(34) Proposto: 0.0014044943820224719|Atual: 0.0015015015015015015
(34) Aceitação: 0.9353932584269663|U: 0.2683984353196831
(34) Aceito!
(35) Proposto: 0.001519756838905775|Atual: 0.0014044943820224719
(35) Aceitação: 1.082066869300912|U: 0.5020788422494442
(35) Aceito!
(36) Proposto: 0.001524390243902439|Atual: 0.001519756838905775
(36) Aceitação: 1.003048780487805|U: 0.4633608660158529
(36) Aceito!
(37) Proposto: 0.0014492753623188406|Atual: 0.001524390243902439
(37) Aceitação: 0.9507246376811594|U: 0.8426433070813961
(37) Aceito!
(38) Proposto: 0.0014005602240896359|Atual: 0.0014492753623188406
(38) Aceitação: 0.9663865546218487|U: 0.13651133589536868
(38) Aceito!
(39) Proposto: 0.0013192612137203166|Atual: 0.0014005602240896359
(39) Aceitação: 0.941952506596306|U: 0.6160622453263269
(39) Aceito!
(40) Proposto: 0.0014705882352941176|Atual: 0.0013192612137203166
(40) Aceitação: 1.1147058823529412|U: 0.15442186005064262
(40) Aceito!
(41) Proposto: 0.001445086705202312|Atual: 0.0014705882352941176
(41) Aceitação: 0.9826589595375722|U: 0.5946826754442684
(41) Aceito!
(42) Proposto: 0.0014970059880239522|Atual: 0.001445086705202312
(42) Aceitação: 1.035928143712575|U: 0.49926523283289226
(42) Aceito!
(43) Proposto: 0.0013404825737265416|Atual: 0.0014970059880239522
(43) Aceitação: 0.8954423592493297|U: 0.6357090249390029
(43) Aceito!
(44) Proposto: 0.0012077294685990338|Atual: 0.0013404825737265416
(44) Aceitação: 0.9009661835748791|U: 0.09380614487910632
(44) Aceito!
(45) Proposto: 0.0013404825737265416|Atual: 0.0012077294685990338
(45) Aceitação: 1.1099195710455765|U: 0.019262707582446525
(45) Aceito!
(46) Proposto: 0.0014925373134328358|Atual: 0.0013404825737265416
(46) Aceitação: 1.1134328358208956|U: 0.2873351999286692
(46) Aceito!
(47) Proposto: 0.0014044943820224719|Atual: 0.0014925373134328358
(47) Aceitação: 0.9410112359550561|U: 0.3731580977710445
(47) Aceito!
(48) Proposto: 0.001466275659824047|Atual: 0.0014044943820224719
(48) Aceitação: 1.0439882697947214|U: 0.12682056080319482
(48) Aceito!
(49) Proposto: 0.0014792899408284023|Atual: 0.001466275659824047
(49) Aceitação: 1.0088757396449703|U: 0.9640012748071609
(49) Aceito!
(50) Proposto: 0.0014749262536873156|Atual: 0.0014792899408284023
(50) Aceitação: 0.9970501474926253|U: 0.3347686020161297
(50) Aceito!
(51) Proposto: 0.0015015015015015015|Atual: 0.0014749262536873156
(51) Aceitação: 1.018018018018018|U: 0.2636745812660167
(51) Aceito!
(52) Proposto: 0.0015060240963855422|Atual: 0.0015015015015015015
(52) Aceitação: 1.0030120481927711|U: 0.6892033496187175
(52) Aceito!
(53) Proposto: 0.0015923566878980893|Atual: 0.0015060240963855422
(53) Aceitação: 1.0573248407643312|U: 0.9199959722133196
(53) Aceito!
(54) Proposto: 0.0015625|Atual: 0.0015923566878980893
(54) Aceitação: 0.98125|U: 0.2296374969129601
(54) Aceito!
(55) Proposto: 0.0015337423312883436|Atual: 0.0015625
(55) Aceitação: 0.9815950920245399|U: 0.5482367512214481
(55) Aceito!
(56) Proposto: 0.0014492753623188406|Atual: 0.0015337423312883436
(56) Aceitação: 0.9449275362318841|U: 0.011470922754795443
(56) Aceito!
(57) Proposto: 0.001392757660167131|Atual: 0.0014492753623188406
(57) Aceitação: 0.9610027855153204|U: 0.7361641305124484
(57) Aceito!
(58) Proposto: 0.0013089005235602095|Atual: 0.001392757660167131
(58) Aceitação: 0.9397905759162304|U: 0.5676096845985317
(58) Aceito!
(59) Proposto: 0.001366120218579235|Atual: 0.0013089005235602095
(59) Aceitação: 1.0437158469945353|U: 0.6684320994959296
(59) Aceito!
(60) Proposto: 0.001483679525222552|Atual: 0.001366120218579235
(60) Aceitação: 1.086053412462908|U: 0.9946823626672296
(60) Aceito!
(61) Proposto: 0.0014326647564469914|Atual: 0.001483679525222552
(61) Aceitação: 0.9656160458452722|U: 0.11278367803853595
(61) Aceito!
(62) Proposto: 0.001388888888888889|Atual: 0.0014326647564469914
(62) Aceitação: 0.9694444444444446|U: 0.39337319463959197
(62) Aceito!
(63) Proposto: 0.0014749262536873156|Atual: 0.001388888888888889
(63) Aceitação: 1.0619469026548671|U: 0.22598760108902305
(63) Aceito!
(64) Proposto: 0.0013850415512465374|Atual: 0.0014749262536873156
(64) Aceitação: 0.9390581717451524|U: 0.4103840371007167
(64) Aceito!
(65) Proposto: 0.0015527950310559005|Atual: 0.0013850415512465374
(65) Aceitação: 1.12111801242236|U: 0.44458532701347353
(65) Aceito!
(66) Proposto: 0.001567398119122257|Atual: 0.0015527950310559005
(66) Aceitação: 1.0094043887147335|U: 0.2402105310527367
(66) Aceito!
(67) Proposto: 0.0014749262536873156|Atual: 0.001567398119122257
(67) Aceitação: 0.9410029498525074|U: 0.9138259645399356
(67) Aceito!
(68) Proposto: 0.0014492753623188406|Atual: 0.0014749262536873156
(68) Aceitação: 0.9826086956521739|U: 0.9164454258758159
(68) Aceito!
(69) Proposto: 0.0014326647564469914|Atual: 0.0014492753623188406
(69) Aceitação: 0.988538681948424|U: 0.3664978775064831
(69) Aceito!
(70) Proposto: 0.0014326647564469914|Atual: 0.0014326647564469914
(70) Aceitação: 1.0|U: 0.9068670817230572
(70) Aceito!
(71) Proposto: 0.001519756838905775|Atual: 0.0014326647564469914
(71) Aceitação: 1.0607902735562311|U: 0.9700285194333198
(71) Aceito!
(72) Proposto: 0.0014925373134328358|Atual: 0.001519756838905775
(72) Aceitação: 0.982089552238806|U: 0.5018770713939281
(72) Aceito!
(73) Proposto: 0.0014970059880239522|Atual: 0.0014925373134328358
(73) Aceitação: 1.0029940119760479|U: 0.05582830449255993
(73) Aceito!
(74) Proposto: 0.001445086705202312|Atual: 0.0014970059880239522
(74) Aceitação: 0.9653179190751444|U: 0.5196178211130599
(74) Aceito!
(75) Proposto: 0.0015105740181268882|Atual: 0.001445086705202312
(75) Aceitação: 1.0453172205438066|U: 0.9235219699327089
(75) Aceito!
(76) Proposto: 0.0015105740181268882|Atual: 0.0015105740181268882
(76) Aceitação: 1.0|U: 0.4755579421649144
(76) Aceito!
(77) Proposto: 0.0014577259475218659|Atual: 0.0015105740181268882
(77) Aceitação: 0.9650145772594753|U: 0.6577259970182671
(77) Aceito!
(78) Proposto: 0.0014326647564469914|Atual: 0.0014577259475218659
(78) Aceitação: 0.9828080229226361|U: 0.6552596689480337
(78) Aceito!
(79) Proposto: 0.001524390243902439|Atual: 0.0014326647564469914
(79) Aceitação: 1.0640243902439026|U: 0.6295729449482012
(79) Aceito!
(80) Proposto: 0.0014619883040935672|Atual: 0.001524390243902439
(80) Aceitação: 0.9590643274853801|U: 0.23576026655967663
(80) Aceito!
(81) Proposto: 0.0014492753623188406|Atual: 0.0014619883040935672
(81) Aceitação: 0.991304347826087|U: 0.2652237455926152
(81) Aceito!
(82) Proposto: 0.0014749262536873156|Atual: 0.0014492753623188406
(82) Aceitação: 1.0176991150442478|U: 0.7031152369660701
(82) Aceito!
(83) Proposto: 0.0014792899408284023|Atual: 0.0014749262536873156
(83) Aceitação: 1.0029585798816567|U: 0.5646839927632776
(83) Aceito!
(84) Proposto: 0.0015384615384615385|Atual: 0.0014792899408284023
(84) Aceitação: 1.04|U: 0.11162159965886709
(84) Aceito!
(85) Proposto: 0.001524390243902439|Atual: 0.0015384615384615385
(85) Aceitação: 0.9908536585365854|U: 0.6509773581683197
(85) Aceito!
(86) Proposto: 0.001557632398753894|Atual: 0.001524390243902439
(86) Aceitação: 1.0218068535825544|U: 0.4135371381260582
(86) Aceito!
(87) Proposto: 0.001524390243902439|Atual: 0.001557632398753894
(87) Aceitação: 0.978658536585366|U: 0.4416159194001834
(87) Aceito!
(88) Proposto: 0.0014005602240896359|Atual: 0.001524390243902439
(88) Aceitação: 0.9187675070028011|U: 0.9389693778860598
(88) Reprovado!
(89) Proposto: 0.0015432098765432098|Atual: 0.001524390243902439
(89) Aceitação: 1.0123456790123455|U: 0.6816842516740407
(89) Aceito!
(90) Proposto: 0.0015772870662460567|Atual: 0.0015432098765432098
(90) Aceitação: 1.0220820189274449|U: 0.4656711440271806
(90) Aceito!
(91) Proposto: 0.0015479876160990713|Atual: 0.0015772870662460567
(91) Aceitação: 0.9814241486068113|U: 0.25212116931597806
(91) Aceito!
(92) Proposto: 0.0015060240963855422|Atual: 0.0015479876160990713
(92) Aceitação: 0.9728915662650602|U: 0.28392708412306444
(92) Aceito!
(93) Proposto: 0.0014577259475218659|Atual: 0.0015060240963855422
(93) Aceitação: 0.9679300291545189|U: 0.9607176054210885
(93) Aceito!
(94) Proposto: 0.0015151515151515152|Atual: 0.0014577259475218659
(94) Aceitação: 1.0393939393939393|U: 0.6135033248444971
(94) Aceito!
(95) Proposto: 0.0014970059880239522|Atual: 0.0015151515151515152
(95) Aceitação: 0.9880239520958084|U: 0.6419341169887458
(95) Aceito!
(96) Proposto: 0.0014749262536873156|Atual: 0.0014970059880239522
(96) Aceitação: 0.9852507374631267|U: 0.2866615932722153
(96) Aceito!
(97) Proposto: 0.0015151515151515152|Atual: 0.0014749262536873156
(97) Aceitação: 1.0272727272727273|U: 0.24638696262442428
(97) Aceito!
(98) Proposto: 0.0014534883720930232|Atual: 0.0015151515151515152
(98) Aceitação: 0.9593023255813954|U: 0.6402363974091774
(98) Aceito!
(99) Proposto: 0.0014577259475218659|Atual: 0.0014534883720930232
(99) Aceitação: 1.0029154518950438|U: 0.12274006834558826
(99) Aceito!
